dns.rrname,domain_tld
192.168.21-28.0,0
ejfodfmfxlkgifuf.xyz,ejfodfmfxlkgifuf.xyz
192.168.21-28.0.home,home
192.168.22.201:,192.168.22.201
aoldtcmds01.office.aol.com,aol.com
aoldtcmds01.office.aol.com.ad.aol.aoltw.net,aoltw.net
ntp.ubuntu.com.localdomain,localdomain
redir.metaservices.microsoft.com,microsoft.com
ocsp.verisign.com,verisign.com
192.168.22.201:.stayonline.net,192.168.22.201
client-software.real.com,real.com
